,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130517,6.598,20130712,6.2033,7.0133,0.1305756613415441,0
1,20140214,5.9913,20140509,7.0627,9.4113,0.33253571580273833,0
2,20140711,6.3271,20150710,8.9061,11.8445,0.32993117077059536,0
3,20150807,10.2517,20150902,7.256,11.8445,0.6323732083792722,1
4,20151204,8.8806,20160122,6.9574,9.5154,0.36766608215712765,0
5,20160318,7.8509,20160527,7.6541,11.2473,0.46944774695914604,0
6,20160729,8.0337,20160812,8.0124,15.6267,0.9503145125056164,1
7,20170714,10.387,20170929,9.0673,9.5157,0.049452427955400315,0
8,20180608,7.4887,20180629,7.3136,9.1869,0.25613924742944644,0
9,20180914,7.7208,20180928,8.051,10.6417,0.32178611352627,0
10,20181123,7.8892,20190104,7.3734,10.6417,0.44325548593593184,0
11,20190222,7.8862,20190510,8.2004,8.8282,0.07655724111018981,0
12,20190621,8.1729,20190816,7.2,13.45,0.8680555555555554,1
